smiles,docking_score
COc1cc(OC)c2c(C=O)c(C=O)[nH]c2c1,-6.829
NC(=O)c1cnc(O)cn1,-5.717
CC(C)=CC=CCC1(O)CCOC(O)=N1,-6.564
O=CC1=COC[C@@H]2[C@@H](CO)[C@@H](O)C(O)[C@H]12,-6.348
CCCC/C=C(/C)C[C@H](C)OC=O,-5.768
CN(C)C(=O)C[C@]1(O)CCC(=O)N1,-5.442
OC[C@@H]1O[C@H](c2ccc(O)cc2O)[C@@H](O)[C@H](O)[C@H]1O,-5.13
C=C(CC)CC[C@H](CC)C(=C)C=O,-6.322
CC1CC(=O)[C@]2(O)C(C=O)=COC[C@H]12,-5.475
CC(C=O)(CCNC(=O)O)C(=O)O,-4.911
COc1ccccc1-c1cc([C@H]2C[N@]3CC[C@H]2CC3)n(C)n1,-3.146
CC(=O)Oc1cc(O)c2c(=O)c3ccccc3[nH]c2c1,-9.311
NC(=O)[C@@H]1CC(O)CN1,-4.91
Cc1cccc(-c2cc(C)cc(Br)c2O)c1,-7.733
CCn1ncc2c(N)c(-c3nnco3)cnc21,-7.678
NC(=O)CNC(=O)[C@@H]1CC(O)C=NN1,-6.996
O=COC1O[C@@H](O)CC[C@H]1OC=O,-4.701
C=c1oc2cnnn2c1=C,-5.665
C/C=C\C=C(C)/C=C(/C)C(=O)NCC(C)C,-6.103
Cc1ccc2c(c1O)O[C@H](O)C[C@@H]2C,-7.542
CCC(=O)C[C@H](O)[C@H]1CC[C@@H](C)[C@H](O)C1,-6.578
OC[C@H]1CCC[C@@H]1Cc1ccc(C2CCCC2)cc1,-6.269
CCC1=CC[C@@]2(C)[C@@H](CC[C@@H]3[C@H]4CCC[C@@]4(C)CC[C@H]32)C1,-3.985
CCCCC(C)C(=O)N(C)CC(=O)O,-5.578
[CH2]C[C@H](O)[C@@](C)(O)[C@@H](O)CC,-5.509
C[C@H](O)[C@@H](C)C(=O)O[C@@H]1C[C@@H](O)[C@H](O)O[C@H]1C,-5.895
Cc1ccc(/C=C(\C=O)NC=O)cc1,-7.15
CC(=O)Oc1cc2c(cc1O)-c1ccccc1CC2,-9.376
O=C/C=C/c1ccc(O)c2oc(-c3ccc(O)c(O)c3)cc12,-5.283
CCCCCC(O)CCCC(C)O,-5.797
